Date,Price,Open,High,Low,Volume,Chg%
2017-12-28,1546.0629999999999,1544.95,1548.6599999999999,1542.2469999999998,5060,0.27
2017-12-27,1541.876,1531.1699999999998,1542.83,1531.0639999999999,5160,0.58
2017-12-26,1532.972,1526.1879999999999,1533.449,1525.234,4330,0.58
2017-12-22,1524.1209999999999,1513.68,1525.87,1513.68,6080,0.56
2017-12-21,1515.588,1518.185,1519.245,1512.7259999999999,5630,-0.07
2017-12-20,1516.701,1516.754,1518.874,1513.521,6070,0.22
2017-12-19,1513.415,1518.768,1520.04,1512.355,5950,-0.38
2017-12-18,1519.139,1510.076,1520.199,1508.9099999999999,6170,0.78
2017-12-15,1507.373,1509.122,1513.627,1504.935,5540,-0.21
2017-12-14,1510.5,1507.002,1515.2169999999999,1506.3129999999999,6630,0.43
2017-12-13,1503.981,1502.55,1507.585,1500.96,4660,0.21
2017-12-12,1500.854,1506.896,1509.175,1498.363,7580,-0.39
2017-12-11,1506.7369999999999,1513.1499999999999,1514.369,1505.836,5920,-0.56
2017-12-08,1515.164,1518.45,1518.45,1510.5,8420,-0.29
2017-12-07,1519.51,1533.396,1533.396,1518.609,7380,-1.04
2017-12-06,1535.5159999999998,1534.35,1539.067,1532.866,6380,0.27
2017-12-05,1531.329,1542.0349999999999,1546.01,1529.845,50,-0.57
2017-12-04,1540.127,1538.113,1547.6,1535.4099999999999,90,-0.54
2017-12-01,1548.501,1539.385,1555.232,1539.014,2160,0.78
2017-11-30,1536.576,1552.211,1552.211,1533.1309999999999,6540,-0.76
2017-11-29,1548.395,1559.79,1560.373,1546.964,5890,-0.56
2017-11-28,1557.193,1560.85,1561.168,1556.027,5800,-0.27
2017-11-27,1561.3799999999999,1560.85,1564.03,1558.306,6550,0.29
2017-11-24,1556.875,1562.175,1563.5,1555.921,5800,-0.15
2017-11-23,1559.26,1562.175,1564.03,1557.829,5780,-0.28
2017-11-22,1563.712,1555.0729999999999,1564.825,1551.84,7800,0.58
2017-11-21,1554.702,1558.73,1559.5249999999999,1551.681,7660,-0.02
2017-11-20,1554.9669999999999,1574.1,1575.637,1551.204,10650,-1.08
2017-11-17,1571.874,1561.4859999999999,1573.517,1556.133,9900,0.57
2017-11-16,1563.023,1565.8319999999999,1566.415,1560.956,7790,-0.13
2017-11-15,1564.984,1568.8,1576.22,1564.136,9840,-0.31
2017-11-14,1569.86,1566.1499999999999,1571.98,1558.783,10220,0.0
2017-11-13,1569.807,1563.712,1570.7079999999999,1562.069,6190,0.38
2017-11-10,1563.924,1570.9199999999998,1574.1,1561.8039999999999,9680,-0.55
2017-11-09,1572.51,1565.09,1573.517,1561.6979999999999,9360,0.37
2017-11-08,1566.786,1560.903,1568.8,1560.214,7900,0.36
2017-11-07,1561.221,1555.4969999999998,1562.97,1554.649,8210,0.32
2017-11-06,1556.239,1543.8899999999999,1557.5639999999999,1543.8899999999999,7660,0.59
2017-11-03,1547.123,1549.19,1561.168,1537.106,50,-0.17
2017-11-02,1549.826,1552.953,1553.854,1545.904,340,0.42
2017-11-01,1543.36,1539.5439999999999,1550.78,1536.523,2160,0.28
2017-10-31,1539.12,1552.8999999999999,1554.8609999999999,1534.774,5800,-1.05
2017-10-30,1555.4969999999998,1550.9389999999999,1556.557,1547.812,4820,0.26
2017-10-27,1551.416,1548.819,1552.847,1545.9569999999999,6530,0.12
2017-10-26,1549.508,1556.875,1560.479,1548.183,8370,-0.43
2017-10-25,1556.186,1562.175,1562.175,1551.575,8109,-0.46
2017-10-24,1563.394,1564.2949999999998,1565.461,1560.532,5500,0.0
2017-10-23,1563.447,1563.606,1566.1499999999999,1556.292,7210,-0.14
2017-10-20,1565.673,1568.8,1569.966,1564.772,3220,-0.38
2017-10-19,1571.662,1568.8,1572.4569999999999,1568.4289999999999,1700,0.4
2017-10-18,1565.408,1570.9199999999998,1571.079,1563.712,5080,-0.1
2017-10-17,1566.945,1576.8029999999999,1576.8029999999999,1566.1499999999999,8270,-0.82
2017-10-16,1579.8239999999998,1579.877,1584.488,1578.87,5770,0.03
2017-10-13,1579.3999999999999,1576.75,1580.301,1571.98,7310,0.15
2017-10-12,1577.068,1575.425,1581.52,1573.676,6880,0.33
2017-10-11,1571.927,1575.001,1577.81,1570.8139999999999,5430,-0.37
2017-10-10,1577.704,1574.1,1579.2939999999999,1574.1,6980,0.33
2017-10-09,1572.51,1565.62,1575.0539999999999,1565.62,6170,0.54
2017-10-06,1564.03,1554.225,1565.62,1551.522,11300,0.33
2017-10-05,1558.836,1561.857,1561.857,1556.133,60,0.28
2017-10-04,1554.543,1562.387,1564.1889999999999,1550.674,230,-0.23
2017-10-03,1558.2,1559.26,1561.168,1555.656,1530,-0.5
2017-09-29,1566.097,1569.595,1576.22,1559.79,7490,-0.25
2017-09-28,1570.072,1571.45,1574.418,1565.09,7990,-0.17
2017-09-27,1572.6689999999999,1582.633,1587.032,1571.132,10370,-0.71
2017-09-26,1583.905,1596.837,1600.335,1579.5059999999999,11900,-0.6
2017-09-25,1593.445,1567.74,1597.95,1564.825,13450,1.54
2017-09-22,1569.224,1571.98,1577.651,1568.058,8540,0.08
2017-09-21,1567.952,1569.86,1573.04,1560.85,13180,-0.66
2017-09-20,1578.34,1571.98,1580.301,1571.98,8420,0.51
2017-09-19,1570.2839999999999,1564.613,1573.57,1564.613,8109,0.23
2017-09-18,1566.733,1581.7849999999999,1581.7849999999999,1566.1499999999999,10850,-1.03
2017-09-15,1583.057,1593.339,1595.088,1581.52,11580,-0.5
2017-09-14,1591.06,1581.043,1593.127,1578.075,12390,0.41
2017-09-13,1584.488,1590.5829999999999,1594.081,1581.5729999999999,10610,-0.19
2017-09-12,1587.509,1585.23,1588.781,1580.99,9390,0.04
2017-09-11,1586.926,1599.911,1599.911,1584.0639999999999,12580,-1.09
2017-09-08,1604.363,1608.55,1614.9099999999999,1601.713,13380,-0.05
